Model,Training ID,Training time (s),Train accuracy,Test accuracy,Test F1-score,Test Precision,Test Recall,Test AUC
Random forest,#1,1084.48,1,0.797,0.792,0.809,0.776,0.099
Random forest,#2,836.73,1,0.801,0.797,0.81,0.784,0.099
Random forest,#3,830.85,1,0.799,0.794,0.807,0.782,0.099
Random forest,#4,842.67,1,0.799,0.795,0.81,0.779,0.098
Random forest,#5,854.89,1,0.798,0.794,0.807,0.781,0.1
Adaptive boosting,#1,413.12,1,0.755,0.754,0.76,0.748,0.245
Adaptive boosting,#2,507.82,1,0.757,0.755,0.758,0.751,0.243
Adaptive boosting,#3,486.73,1,0.757,0.756,0.759,0.754,0.243
Adaptive boosting,#4,400.61,1,0.758,0.757,0.758,0.756,0.242
Adaptive boosting,#5,446.02,1,0.754,0.752,0.75,0.755,0.246
Gradient boosting,#1,25426.15,0.818,0.753,0.754,0.745,0.763,0.14
Gradient boosting,#2,26236.01,0.816,0.756,0.76,0.746,0.774,0.137
Gradient boosting,#3,26001.64,0.817,0.762,0.765,0.754,0.775,0.136
Gradient boosting,#4,26099.49,0.82,0.756,0.758,0.743,0.774,0.14
Gradient boosting,#5,25198.55,0.819,0.759,0.761,0.75,0.773,0.136
Neural network,#1,5359.59,0.804,0.807,0.806,0.804,0.808,0.085
Neural network,#2,6389.52,0.839,0.839,0.837,0.842,0.832,0.057
Neural network,#3,3643.96,0.804,0.803,0.806,0.791,0.822,0.093
Neural network,#4,5012.87,0.873,0.876,0.876,0.878,0.874,0.038
Neural network,#5,3144.27,0.813,0.812,0.811,0.814,0.808,0.085
Nearest neighbors,#1,19.96,1,0.753,0.752,0.76,0.744,0.146
Nearest neighbors,#2,19.17,1,0.751,0.748,0.75,0.747,0.15
Nearest neighbors,#3,20.18,1,0.752,0.752,0.757,0.747,0.149
Nearest neighbors,#4,19.38,1,0.749,0.746,0.753,0.74,0.152
Nearest neighbors,#5,19.64,1,0.747,0.745,0.75,0.741,0.154
